Вопрос решен	Вопрос не решен 	Нравится качество выполнения заявки	Нравится качество работы сотрудников	Нравится скорость отработки заявок	Понравилось выполнение заявки	Unnamed: 6	Unnamed: 7	Unnamed: 8
	тамбурную дверь не правильно отрегулировали	 дверь хлопает при закрывании.						
	какой гарантийный период у водопроводной системы	 которая зашита внутри стен?						
				спасибо за оперативность!)				
	протечка была. на фото видел места мокрые. в момент прихода сантехника уже не капало. найти место течи вроде говорят удалось найти на тех этаже.							
				быстро и результативно. спасибо				
				по существу. оперативно. молодцы				
					большое спасибо! какие вы молодцы!			
					огромное спасибо за помощь ??			
				больше спасибо! всё сделали быстро , оперативно.				
батареи были холодные		в течение часа решили вопрос						
	у меня вопрос был кто зарегистрирован в квартире? почему в квитанции на оплату жкх стоит кол-во зарегистрированных 1? если я там больше не прописана с 2020г							
			спасибо менеджеру алине за помощь в решении заявки					
				спасибо, все выполнено быстро				
					отлично,спасибо!!!			
					отлично, молодцы!			
	мария доброе утро!  абсолютно ничего на этаже не отмыто	 химией не работали это видно на фото	 так же отсутствует запах. прошлый раз когда администратор действительно отмывала был запах химии и плитка была хоть и в небольших белых пятнах но без разводов. сейчас же такое ощущение что снова помыли полы грязной тряпкой и водой! прошу всетаки разобраться в сложившейся ситуации.					
			все прошло хорошо. вежливый молодой человек всё сделал и все объяснил. спасибо.					
		оперативно устранили дефект!						
	проблема не решена.! укажите эл. почту	 я вам скину чек об оплате за декабрь.						
	нет ответа							
				спасибо, очень оперативно				
	подскажите пожалуйста куда скинуть акт о выполнении поверки	чтоб в приложении отображалась информация	что поверка проведена?					
спасибо) интересно		 а что с лифтами после этого?						
			отличный представитель. все рассказал и подсказал????					
		включили лифт быстро, но как надоело это наблюдать почти каждый день!						
					все отлично, спасибо большое ??			
					спасибо, все забрал!			
		лифт работает,я довольна						
быстро перезвонили		 вопрос решили						
по поводу уборки этажей		 я знаю что убирают в среду	 но проблема уборки 1 этажа. спасибо за  вашу работу					
					спасибо, все починили!			
				спасибо, все сделали, очень благодарны за оперативность!	спасибо, все сделали, очень благодарны за оперативность!			
				великолепно! электрик пришел быстро. все сделал.				
4		5 из 5.. сама ходила перекрывала воду у соседей.. иначе бы уже накапало прилично мне.. и пыталась до них достучаться.. но в итоге открыли только сантехнику после звонка от ук						
				спасибо за оперативность, ключи получила.				
					спасибо за организованность			
				очень оперативно!				
				молодцы, оперативно вс? починили.				
				очень быстро и оперативно , спасибо				
		всё быстро, качественно, вежливо		всё быстро, качественно, вежливо				
				мастер пришел очень оперативно. спасибо!				
	в приложении по-прежнему другой человек	  тоже сергей александров	 но не тот					
			спасибо большое юрию! оперативно позвонил, проконсультировал, решили проблему ???? спасибо					
		отлично, быстро, надёжно!		отлично, быстро, надёжно!				
				быстрое реагирование				
				очень оперативно				
				оперативно. ещё бы настроили его, чтоб не хлопала дверь.				
	проблема не устранена!!!!							
	нет даты заключения договора							
		спасибо, теперь снова чисто						
					огромное спасибо!!!			
долго								
мне замена счётчика не нужно 		 пломбировкп счётчика первичка нужна						
				благодарю за оперативность по устранению протечки				
	почему нельзя сразу так ответить?							
				оперативно  .спасибо				
					спасибо огромное			
			прекрасный специалист, спасибо!					
					спасибо большое) ??			
				оперативно ответили				
информация дана								
		на мою просьбу быстро отреагировали, позвонили и быстро решили проблему						
			"огромное спасибо! наконец-то решили проблему! девушка ""вела"" меня пошагово, терпеливо объясняя"					
				спасибо за оперативное устранение аварии!				
			спасибо менеджеру алине					
				отлично. спасибо большое. четко и быстро.				
			мастер, замечательный пришел и сдалал					
	управляющий железняков так и не сделал мне перерасчет							
					все прекрасно!			
		было выполнено все быстро, качественно и профессионально, спасибо!						
					большое спасибо!!!			
					спасибо большое, двери открываются			
				быстро, оперативно. спасибо!				
			пришел с вопросом, девушка все рассказала, показала как сделать, вопрос решился за 5 минут. спасибо					
			спасибо сантехнику сергею за работы по устранению неполадки в системе гвс.					
			мастер своего дела					
	прошу убрать демонтированное окно из подъезда. три месяца стоит.							
			все отлично! спасибо ук и лично борису					
		поверка проведена						
				спасибо, очень быстро!				
		спасибо, два дня у магазина ничего нет, стеллажей и мусора						
				спасибо за оперативное решение вопроса!				
		спасибо огромное! и за почищенный снег тоже!!!						
		теперь всё в порядке. повторное начисление убрали. спасибо!						
хотя бы с третьего раза пришли и поменяли личинку		 благодарю						
	теперь у меня тоже начали шуметь	 переоткройте заявку.						
				отлично, быстро	отлично, быстро			
					спасибо. показания исправлены			
					молодцы.			
за ответ благодарю. не устраивает		 что мне заранее зачислили страховую сумму из переплаты в январе 2025	 не согласовав со мной. кто принимает такие решения и почему это не было со мной согласовано?					
					спасибо большое работу			
				благодарю за быстрый отклик !				
			супер сотрудник ! 10 и 10 баллов , профессиональный подход . спасибо.					
	никто не ответил	 сначала было написано: приостановлено	 второй ращ: выполнено.					
					спасибо за работу			
					благодарю за терпение)))			
			спасибо мастерам, что оперативно пришли.					
			молодцы, доволен сантехниками					
					большое спасибо.			
				спасибо) быстро сделали ключи??				
			очень быстро решили вопрос! от вызова электрика по замене ламп в коридоре до устранения неисправности прошло минут 30. неожиданно и приятно!	очень быстро решили вопрос! от вызова электрика по замене ламп в коридоре до устранения неисправности прошло минут 30. неожиданно и приятно!				
					огромное спасибо ??			
	пожалуйста свяжитесь со мной							
	ждём до весны (теплого времени года )							
			спасибо специалисту					
		лучший сервис в мире )))))						
				быстро решили проблему. спасибо.				
	добрый день! прошу указать сроки настройки системы аскуэ. пока система не работает	 показания которые передаем вручную не учитываются?						
забрал очки								
				спасибо за быстрый отклик на заявку, к сожалению проблема не решилась, запах остался, будем ждать потоп.				
			огромное спасибо!!!! завтра жду мастера-фломастера					
			специалист перезвонил, всё разъяснили.					
					все хорошо			
					лучшие			
	почему не дает вносить показания электроэнергии в приложении?							
			работа выполнена на 5+.      но лампочки очень не качественные, часто меняют ((					
					спасибо, все отлично!			
		все сделал быстро, качественно.		все сделал быстро, качественно.				
				быстро среагировали! спасибо				
	пока не создашь заявку	 выполняется только уборка техникой						
	прошу учесть на 22.01.2025 показания счётчика холодной воды - 95	6						
	так сумма начисления за декабрь так и осталась висеть в личном кабинете к оплате. уберите её - она уже оплачена.							
		спасибо, мусор и дверь вынесли, но полы не помыли						
выполнено								
				быстро отреагировали на заявку , сразу решили проблему , спасибо				
	человека выпустили. но в лифте нет телефона для связи и по кнопке связи с диспечером связи нет! поэтому вызывали через соседей.							
большое спасибо за оперативность		 в решении данной проблемы			большое спасибо за оперативность, в решении данной проблемы			
					всё супер ??			
					спасибо большое.			
вопрос решили очень быстро. большое спасибо!				вопрос решили очень быстро. большое спасибо!				
			очень вежливый и внимательный мастер. все выяснил и починил !					
					спасибо большое!!!			
				оперативно устранили протечку.				
все заработало								
				спасибо большое за оперативность				
				все сделали. но оперативности не было. на третий день после заявки об аварийной ситуации отреагировали и то после доп звонка				
				быстро и по делу				
		очень доволен ??						
быстро и качественно 								
"благодарю ??"""			очень доволен ??					
"благодарю ??"""								
				быстро обработали заявку,и быстро пришли слесари				
	здравствуйте! на нашем 7 этаже  нет запаха краски	 так как дверь красили на другом этаже. заявка касается зловония гнилью и кошачьим туалетом. в воскресенье	 19 января	 запах исчез	 но сейчас он снова появился. усиливается вонь возле вентиляции	 у 26-27 квартир. решите	 пожалуйста	 проблему.
			вежливые и отзывчивые сотрудники, быстро решают все возникшие проблемы!					
		быстро и качественно . спасибо за работу !!!!		быстро и качественно . спасибо за работу !!!!				
					спасибочки большое вам.??			
	не пойму что делать далее							
			очень понравился ваш сотрудник. все проверил, показал, объяснил. надеюсь с отоплением проблем не будет. спасибо					
			огромное спасибо. все четко. предварительно перезвонили и мастер пришел в назначенное время					
	добрый вечер ! это как нет расчетов 	 мне выставляют счета с этого приложения и я их оплачиваю						
	у меня перепутаны счетчики на электричество и мне начислено за другую квартиру	 акт сделали	 просьба сделать перерасчет с самого начала периода					
		разъяснения получены. спасибо!						
		после корректировки настроек топления, в квартире стало теплее						
				благодарю за оперативность. неполадка устранена.				
				все быстро сделали				
инженер сказал показания передаются автоматически		 почему в квитанциях начисления по электроэнергии по нормативам?						
				спасибо за оперативный ответ и работу??				
				в целом быстро и оперативно				
				огромное спасибо за оперативность				
		качественно, быстро		качественно, быстро				
		качественно ?? особое благодарность сергею						
				очень быстро. спасибо				
		спасибо за быстрое и качественное реагирование????		спасибо за быстрое и качественное реагирование????				
				благодарю за оперативный ответ со стороны сотрудников расчётно - платёжного отдела.				
	уборщица всё равно не подметает	 на мой вопрос почему задала мне вопрос-а что надо? не знаю какие разьяснения вы делаете персоналу	 они об этом не в курсе.					
вода горячая		  первое время- ржавая.  хотелось бы	  чтобы устанавливать такие ситуации быстрее	  чем за 14 часов.				
		спасибо за обратную связь!						
		вопрос решили за 5мин.						
			спасибо андрею , все устранил ????					
		батарея полностью горячая, спасибо огромное за работу						
				спасибо большое, выполнили быстро замену??	спасибо большое, выполнили быстро замену??			
			спасибо за работу ,очень хороший человек.					
			спасибо, мастер пришел все сделал					
заявка выполнена								
				очень быстро отреагировали, проблему решили				
				спасибо ,очень быстро выполнили работу				
				быстро и понятно,  спасибо!				
				очень быстро отреагировали, приехали в удобное время!				
					спасибо за ответ!			
	к кому обратиться по поводу оплаты квитанции другим плательщиком?							
приложение нужно дорабатывать 		сами пишите что зачисляются до 5 дней	 сами просите оплатить до 20 января	 а у самих нет никаких данных о поступлении	 уже и выписку приложила 	все без изменений		
		спасибо, я вижу счетчики заведены в программу и отобразились в приложении						
					большое спасибо за выполнение работы!			
		спасибо! получить ключ сама не могу. прошу выдать ключ трофимова степану викторовичу 29.06.1993 г.р.						
				спасибо за оперативное выполнение заявки!				
			ук отреагировали быстро. сантехник пришел вовремя, исправил.					
				чисто ,быстро ,аккуратно				
все разъяснили??								
				заявку выполнили быстро ,спасибо				
			большое спасибо мастерам которые чинили батарею, пришли очень быстро я даже не ожидала. все спокойно сделали.  спасибо	большое спасибо мастерам которые чинили батарею, пришли очень быстро я даже не ожидала. все спокойно сделали.  спасибо				
	повторная заявка (4195451)							
					отлично, большое спасибо			
		да неисправность устранена, но по времени не очень быстро						
	кнопки не светятся при нажатии							
			мастер пришёл в день заявки, это радует.					
розетка оказалась исправна		 в итоге по ремонту не пришлось ничего делать. будем наблюдать! надеюсь	" будет работать и дальше."""					
			мастер пришел вовремя, поменял и опломбировал счётчик, всё отлично					
	прошу прислать акт	 заключение. на потолке образовалось пятно от протечки						
	ужасная управляющая компания							
		благодарю за чистоту в подъезде, а то у нас там появился неприятный запах.						
		быстро помогли с ответом + четко выражена мысль и то что я просила - услышала						
				работа выполнена быстро!				
		оперативно и качественно						
		спасибо, счетчик стал работать						
	20 января	 пока запаа нет						
			спасибо! очень помогли! отличный сантехник					
			спасибо большое сергею сантехнику. пришёл быстро, всё отремонтировал и дал дельные советы!!!					
					заявка выполнена, спасибо за заботу.			
					отлично работает теперь			
					все понятно. спасибо			
вопрос решен. спасибо								
					заявка выполнена			
поплняйте		 пожалуйста	 своевременно. сейчас опять мало пакетов					
				спасибо большое за работу, за быстрый ответ на заявку и устранения .				
в лк у меня нет задолженности. оплачивал более недели назад.								
				спасибо за оперативность !!!				
			большое спасибо инженеру.					
			спасибо станиславу большое!)					
			идеально закрывается дверь. огромное спасибо мастеру!					
				все быстро и оперативно. спасибо!				
	хотелось бы	 чтобы передали информацию в отдел	 занимающийся возвратом средств. 					
		хорошо только цвет другой						
				спасибо большое! все оперативно устранили.				
	это с учётом остальных платежей или только за электричество?							
	оплата за коммунальные услуги оплачены 30.12.2024. когда можно пере заказать  справку							
			всё супер. спасибо сантехнику за решение проблемы.					
				спасибо за быстрое исполнение заявки				
спасибо за оперативную работу		вопрос решен.			спасибо за оперативную работу,вопрос решен.			
		оперативно, качественно, проффессионально.		оперативно, качественно, проффессионально.				
				спасибо! все оперативно и быстро было сделано! ????				
					спасибо за порядок на нашей площадке			
				отработали оперативно				
				быстро, класс!				
	неверный логин пароль							
				все оперативно. спасибо				
	неверный логин и пароль??							
				все быстро , четко , спасибо !				
надеюсь		 что закрепили	 а не просто втолкнули назад. проверю вечером					
		быстро и качественно!		быстро и качественно!				
					все работает			
				благодарю за оперативное решение!				
	помыт только пол. двери 	 где входная группа так и в пыли .						
				оперативно и быстро все сделали, что требовалось.				
				первый раз за 5 лет заявка выполнена как полагается и оперативно! спасибо!				
			быстро отреагировали, техник позвонил, что-то где-то сделал, отопление снова греет. спасибо.	быстро отреагировали, техник позвонил, что-то где-то сделал, отопление снова греет. спасибо.				
					отреагировали моментально. сантехник нашел причину быстро и устранил быстро. спасибо большое.			
					вы лучшие,  благодарю.			
		отличная работа, быстро и качественно		отличная работа, быстро и качественно				
		отличная работа, быстро, качественно ??		отличная работа, быстро, качественно ??				
			не доделали работу до конца, ушли, пока трудно оценить,устранили ли причину протечки.					
					очень благодарны!			
					спасибо за ремонт, приступили к работам в тот же день!			
	посыпали песком но не везде	 упала на парковке и разбила руку						
			все объяснил,обнаружил утечку сверху,залитие приостановлено,благодарю.					
					да, заработало			
			спасибо, мастер пришёл очень быстро.					
				спасибо! очень быстро отреагировали и заменили лампу не только на 2 этаже, но и на первом. благодарю!				
				сделали все быстро				
				быстро сделали. спасибо.				
					спасибо, хорошо убрали!			
		очень чисто. спасибо за уборку						
		большое спасибо. все выполнено оперативно и качественно		большое спасибо. все выполнено оперативно и качественно				
					спасибо большое !			
					спасибо, заявка выполнена.			
				спасибо большое за оперативный ответ				
		на заявку отреагировали ночью мгновенно. течь устранена операивно и качественно! спасибо всем и виктору персонально!		на заявку отреагировали ночью мгновенно. течь устранена операивно и качественно! спасибо всем и виктору персонально!				
				спасибо,оперативно отреагировали, перекрыли воду				
					выполнено, спасибо			
очень быстро решил проблему								
					спасибо большое!!! вы очень аперативные			
				все оперативно устранили				
хорошо		 что решили вопрос. но тем не менее	 человек менее внимательный не обратил бы внимание на пришедший повторный счёт за коммуналку и оплатил его бы дважды.					
				четко, оперативно				
					спасибо за работу!			
причину выяснили		 но дверь как была открыта	 так и осталась. вопрос не был решен.					
				очень быстро отреагировали				
	частично произведена уборка	 засохшое дерьмо в углу так и осталось не убранным.						
				спасибо, что быстро исправили??????				
		все оперативно и качественно		все оперативно и качественно				
				все быстро и хорошо				
		долго, но всё равно, спасибо						
				спасибо , быстро отреагировали!				
		оперативно, доброжелательно и качественно! огромное спасибо за помощь.		оперативно, доброжелательно и качественно! огромное спасибо за помощь.				
				быстро и вовремя				
				огромное спасибо за мгновенную помощь!! очень приятно, что так быстро среагировали и понятно объяснили, какие кнопки нажимать!! теперь я знаю, что делать в подобных случаях, ещё раз спасибо))				
				быстро сработали!				
				огромное спасибо за оперативную помощь.				
					работает. спасибо			
				всё решили быстро				
	на лифте засрали можите видео посмотреть кто это свиня чтобы за сабой не убирает посмотретье пожалуйста видео							
			спасибо огромное андрею! мастер своего дела					
					благодарим			
			отличный мастер приходил, отзывчивый. все устранил					
		быстро! качественно! спасибо!		быстро! качественно! спасибо!				
		ура! спасибо большое! а можно их ещё отрегулировать? чтобы медленно закрывались двери?						
				вот это скорость выполнения заявки ?? вот это я понимаю! в пример всем остальным! спасибо большое! ????????				
воду дали		 но не понятно почему ее не было						
				пришли быстро. всё исправили. на щитке как оказалось у многих плохо прикручены контакты. спасибо				
		оперативно, качественно и доброжелательно!		оперативно, качественно и доброжелательно!				
				благодарю вас за быструю услугу.				
		благодарю за выполненную работу.быстро и качественно		благодарю за выполненную работу.быстро и качественно				
					спасибо огромное !????			
					отличная работа! спасибо!			
				спасибо большое за оперативность!!!				
				оперативно помогли				
		протечки устранена.спасибо						
			спасибо большое , в квартире а в правду очень тепло стало как сделали отопление .  вот что значит опытные сантехники					
	этот же автомобиль в этом же месте припаркован на данный момент. из-за этого автомобиля участок еле проходим							
				добрый день. спасибо за понимание и быстрое решение!				
спасибо за решение проблемы!								
во время устранили								
					большое вам спасибо :)			
				спасибо! оперативно все починили				
			мастер  оперативно нашел причину протечки					
				отлично !!!все устранили в кратчайший срок.благодарю!				
111								
					пока работает, всё хорошо			
		убрали						
			мастер супер! спасибо огромное!					
		спасибо огромное!!! всё профессионально						
					всё работает, спасибо!!!			
			андрей с товарищем все исправили !отличная работа					
			супер мастер !!!					
		я сделала ремонт в коридоре. и если в подвале сухо, но надеюсь что от грибка в квартире больше нет. благодарю за фото.						
			хороший мастер ??					
					спасибо огромное.у нас в самолёте первоклассные специалисты.??			
		ну здесь в целом могу сказать что заявку выполнили???? здесь вам спасибо						
спасибо большое за компетентное разъяснение вопроса!								
		было бы хорошо чтобы они не ломались каждый жень! они же новые!						
		очень понравилось насколько качественно была выполнена работа по устранениию течи в стояке, по устранению последствий аварии. грачев михаил и голубев(прошу прощения не знаю имени) очень качественно, на высшем уровне выполнили свою работу, даже профессинал высоко оценил.	очень понравилось насколько качественно была выполнена работа по устранениию течи в стояке, по устранению последствий аварии. грачев михаил и голубев(прошу прощения не знаю имени) очень качественно, на высшем уровне выполнили свою работу, даже профессинал высоко оценил.					
			супер мастер! протечка устранена ! спасибо !					
	так и не работает дверь входная и дамовон							
хотелось  бы		 чтобы работа выполнялась 	 постоянно	 без заявок				
				удивлен, что так быстро среагировали				
			все супер. отличный спокойный мастер					
			большой спасибо татьяне ??					
		шум прошел. надеюсь не повторится, спасибо.						
				спасибо, очень быстро всё сделали.				
			5 звезд заочно , так как специалист дал оперативную и грамотную консультацию, но проблема пока не решена					
			оперативно пришел сотрудник и нашел источник протечки					
				быстро приняли меры.				
		все сделали						
				все сделано грамотно и оперативно				
		спасибо за быструю и качественную работу!		спасибо за быструю и качественную работу!				
				оперативно.				
		быстро, качественно,результативно ??????спасибо		быстро, качественно,результативно ??????спасибо				
				спасибо большое. все быстро починили.				
					всё хорошо			
				оперативно разрешили данную проблему! надеюсь, что больше в данном месте после сварки протекать не будет				
			спасибо сантехнику валерию , что устранил гул у соседей					
		батарея в ванной горячая. спасибо.						
			огромное спасибо слесарям. пришли быстро. все устранили.					
	никто не приходил	 как гремело	 так и гремит.					
			спасибо , все сделал мастер					
			приятный менеджер??					
				спасибо большое, все быстро и по делу				
		спасибо, все сделали от начала заявки до регулировки батареи за 40 минут. очень толковый работник пришел						
				спасибо,  очень оперативно				
					а тлично			
вопрос решен		 спасибо!						
оплатил								
	лифт не работает	 кнопки не активны						
		спасибо. заменили лампу						
	прошу просмотреть прошел ли платеж сегодня. на новую сумму в квитанции деньги списали							
	не передали в гарантийный отдел!							
			мастер быстро отреагировал, сразу пришел , проблему решили					
				очень оперативно. спасибо !				
				оперативно исправили				
		спасибо, всё быстро и качественно		спасибо, всё быстро и качественно				
			отлично!спасибо,мастер все установил как нужно.					
		спасибо за ликвидацию аварии!!						
			мастер подошёл в течении 3 минут. спасибо огромное.					
	не работают 2 грузовых лифта							
			спасибо юлии и ерлану за решение вопроса!					
				быстро пришли. течь устранили.				
				спасибо за оперативную работу				
21.01 уборка была выполнена								
			мастер все сделал хорошо, все замазал, установил крепко и подключил.					
	подача горячей воды в систему отопления была выполнена в течение 30 мин. с момента подачи заявки по отсутствию отопления.							
	подача горячей воды в систему горячего водоснабжения была выполнена в течение 30 мин. с момента подачи заявки по отсутствию горячей воды							
		спасибо большое. все хорошо сделали!						
			большое спасибо менеджеру репиной светлане за оперативное решение проблемы					
				быстро устранили течь в шахте				
			мастер приехал вовремя и устранил неполадки					
				спасибо! очень оперативно несмотря на праздники.				
				очень приятно, что так оперативно отреагировали и решили вопрос.  спасибо большое!				
					супер, спасибо			
					быстро и хорошо. спасибо!			
				починили быстро! спасибо!				
			великолепный человек, включил всё, мы проверили работают ли все лампы и тд, объяснил что можно сделать в следующий раз в такой ситуации, спасибо ему!<3					
		засор устранили						
					спасибо)))			
				оперативно, молодцы				
				оперативно. спасибо, что не заставили ждать окончания праздников. с новым годом				
			все мастер поправил, работает. спасибо большое!					
		услуга была оказана качественно, но не своевременно (спустя 10 дней после запроса)						
		сроки, конечно, так себе						
	заявка не выполнена							
	долго мастер не приходил после оплаты							
еще бы плитку восстановили		 пока никто не сломал ноги						
				спасибо за оперативность в тот день ??				
		течь устранена оперативно. работа выполнена качественно, спасибо большое вячеславу за помощь.		течь устранена оперативно. работа выполнена качественно, спасибо большое вячеславу за помощь.				
				оперативно устранили проблему. вежливый мастер. все чётко и по делу! спасибо				
					спасибо ??теперь все работает.			
					благодарю за развернутый ответ!			
			спасибо мастерам! они отлично выполнили свою работу					
доводчик заменили								
я прошу прощения что донимаю		 возможно 	 не по адресу	 но хочу понять	 это отдельный платеж за кап ремонт получается? 			
				спасибо большое.  все очень быстро и удобно.				
спасибо за отмену заявки по моей просьбе								
		спасибо, теперь всё работает.						
		очень хорошо убрали, спасибо						
	данные расчета не предоставили.							
показания по счетчикам сняли		 но нет ответа по поводу суммы в последней квитанции — она верна? почему она идентична с предыдущим месяцем?						
				быстро отреагировали на заявку и опломбировали то же быстро. осталась довольна. спасибо				
				все быстро и оперативно, спасибо!				
	здравствуйте. прошу заметить	 что и в крайней квитанции	 и в более ранних неверно проставлены даты последних платежей. с чем это связано?					
	добрый день! в ноябре счет был оплачен 15 ноября . вот скрин из приложения банка . прошу проверить оплаты . и написать поступившие вам с октября до конца года . ноябрь был оплачен 	 проверьте 	 пожалуйста . тут нет возможности приложить скрин. напишите 	 куда отправить квитанцию о оплате				
				оперативно, благодарю				
					все ок, спасибо			
					норм			
	не могу найти как открыть новую							
	ждём морозной погоды что бы замерить тепловизором температуру на стене.							
	так 2 декабря оплачивали за ноябрь	 а сейчас идёт авансовый которая должна быть до января оплачена						
			мастер просто супер! сделал всё на высшем уровне, спасибо большое ??					
	как не убрано было так до сих пор и не убрано!							
	на 24.01.2025 назначено уборка частей забора	 надеемся и куч графия и блоков	 занимающих места. ждём.					
проконсультировали по телефону		 обещали перерасчёт в следующем счете. жду счет						
добрый вечер. да		 в личном кабинете написано	 что оплата . объясните почему нет чеков в истории оплат?					
проблема решена		 но после повторных заявок						
	смотрите сообщения от 23.09.24 о поверке счетчиков. вы же мне и предлагали. вот акт у вас есть. так с чего мне начисляется отопление не по счетчику?!							
	снова не работает доводчик двери							
		спасибо огромное за перепрограммирование						
	просили разобраться по счету за кладовое помещение	 а не за квартиру						
	в приложении не обновился номер нового счетчика по горячему водоснабжению. можете перепроверить информацию?							
	заявка закрыта без фактического исполнения и не обоснованно. контрольные показания счетчика так и не сняты	 акт не составлен	 перерасчет не сделан. прошу возобновить исполнение заявки.					
				всё быстро сделали)				
					все понятно спасибо			
	у меня были вопросы по показаниям счётчиков воды за период с октября 2024 года. а мне приведены данные за ноябрь-декабрь 2024							
дрлго. все сроки оплаты уже прошли к тому моменту		 как появилась информация в банковском приложении.						
			в жк спутник самый лучший инженер!					
		спасибо, хоть и очень не оперативно, заявка выполнена						
	поверку не произвели							
		решили, но пришлось 2 раза просить						
а можно обновить данные в личном кабинете		 чтоб светились актуальные счетчикм						
наконец то уровень сервиса дошёл до отметки		 где смогли решить эту проблему						
	соседи так и хранят вещи 	 а лист был просто положен в результате его просто выбросили 	 нужно наклеить лист оповещения на окно чтоб было видно либо принять меры к людям которые продолжают пренебрегать правилами пользования помещения					
			большое спасибо марине за контроль уборки .   надеюсь что так будет всегда.					
		добрый день, я просил составить заявку по уборке лестничного марша. по поводу уборки в коридорах у меня пока нет претензий. прошу навести порядок на лестничном марше						
	магнитный замок так и не закреплён. диагностика и установление причин видимо даже не проводилось.							
					спасибо большое всё идеально			
		дверь исправна						
	плесень не устранена. просьба устранить.							
					ок			
	указанные ключи не работают. ростелеком 2 раза их перепрошивал	 не открывают дверь. из приложения дверь открывается	 клбчом нет. ерт от					
		по состоянию на 18:12, 28.01 оба лифта работают, спасибо !!!!!!!!!!						
					молодцы!			
			чудесный мастер! благодарю!					
добрый день		 услуга оказана отвратительно	 трещина задела  шпатлёвкой	 после высыхания шов не был зашлифован сразу была нанесена краска. также испорчен вид  посещения моп из- за окраски не в тон ранее окрашеных стен.				
напольное покрытие видимо отдельная задача.								
					нормально			
	долг за водоотвод не снят. подтверждающий документ не выслан.							
большое спасибо за решение проблемы					большое спасибо за решение проблемы			
	никто не позвонил							
	в приложении не возможно поменять л/с	 а по новому квартиру не добавить	 т. к. уже есть одобрение на  78148990058					
	вы не ответили	 внесли ли вы изменения. меня волнует начисления с января 2025 года. я вам предоставила адресную справку которая от 03.01.25 года	 в которой говориться что прописан только один человек	 это я. меня волнует вопрос	 внесли ли вы данные о снятие с регистрации моего сына	 чтобы ав		
					спасибо! спускаем воздух регулярно			
	пришёл пьяный сантехник	ни хрена не сделал	но заявка выполнена??????					
	даже никто и не подходил к отвалившейся плитке	 каким образом стоит статус выполнено ?						
	после после проведенной регулировки окно стало цеплять раму							
	-1 звезда за то	что не оперативно реагируете на заявки банальные						
	соседи так же продолжают ставить вещи 	 прошу принять меры						
всеееееее оооооооочень долгоооооо								
					отлично! спасибо)			
решили просто закрыть		 не выполнив?!						
		хотелось бы более быстрого решения проблемы						
		проблему с течью воды устранили,но смеситель мне не заменили!						
выполнили заявку через 2 недели								
решили сами								
			отдельная  благодарность инженеру кириллу					
	к моменту когда запланированы работы по установке шлагбаум	 прошу рассмотреть возможность установки противондального шлагбаума						
		21.01 уборку провели						
	неверные показания							
		огромная благодарность службе клининга за решение непростого, но очень важного вопроса! 						
навели идеальный порядок на указанных этажах		 эвакуационные лестницы свободны! впечатлили	" спасибо вам????"""					
	снова окно дует хуже прежнего и не открывается на проветривание							
					молодцы, спасибо.			
					чётко			
	задача ни решена							
	жду перерасчета в квитанции	 получается ?? тогда пока не оплачиваю тут выставленный счет						
					благодарю.			
	прошу отремонтировать розетку. доступ предоставлен.							
ситуация стала лучше		 но все равно есть перепады давления						
	как вода стояла в поддоне так и стоит							
	никаких действий по заявке не произведено							
	пересчет в декабре не произведен!							
домофон звонит		 но открыть дверь через него из квартиры я открыть не могу.						
					пока работает			
жду ответа								
	после опломбировки не оставили документы в почтовом ящике. как их можно получить?							
		большое спасибо за качественную,быструю и  профессиональную работу!!!		большое спасибо за качественную,быструю и  профессиональную работу!!!				
					всё отлично!			
	конструкция была смонтирована еще летом. никаких работ не производилось. прошу убрать конструкцию от моего помещения.							
	работы не проводились и не начинались	" ""завершились"" - они в фантазиях ))... с откоса как дуло"	так и дует	 со свистом!!!! из стены над окном тоже дует ветер!				
					спасибо большое ????????????			
					на конец то. спасибо.			
					работа выполнена, большое спасибо			
	не  горят							
качество материалов на высшем уровне		 водяные счётчики не прожили и двух лет. а цены на квартиры как будто материалы из чистого золота. главное что никто не за что не отвечает.  впрочем ничего нового. стабильность это хорошо!						
					наконец то			
	заявка не исполнена							
	чего не сделано							
	до сих пор в приложении нет актуальной информации о поверке счётчиков	 я не могу из за этого передать показания.						
	"прошу исключить услугу ""обслуживание систем безопасности"" из квитанции. услуга домофона/видео для кладовой невозможна. в кладовую позвонить нельзя."							
		пломбировку сделали. ждем начисления)						
	а дверь кто будет убирать?							
					спасибо! наконец-то всё работает.			
	нужно поменять фоновую трубу							
	жду появления счетчика в лк							
	не отражен статус по поверке в приложении							
				все оперативно.				
			достойное решение инженера					
	ключ не работает!							
	почему не отражается что проверка пройдена	 пишет пройти же проверку в лк. даже на сообщение не ответили молча закрыли заявку						
					можно было б и быстрее			
очень долго ожидала реакции на заявку								
					стоимость услуги высока!			
	несколько дней делали							
				благодарю за оперативность				
	не убирали	 перерасчет						
	повторно. вы обещали включить вопрос о переносе скамейки в повестку ближайшего осс	 но не включили. почему?						
	вопрос не решили же							
плитку уложили		 но в дождь всё равно скапливается лужа :(						
	резиновые прокладки в окнах заменены частично. от продувания не помогло							
					все отлично, проблема решена			
оплачено								
	лампочки как перегорели так и никто их не поменял. 6этаж холл у лифта!							
